season,week,play_id,game_id,drive,posteam,defteam,home_team,home_team_score,away_team,away_team_score,score_differential,quarter,drive_start_time,play_type,play_desc,down,yds_to_go,pass_yards_gained,rush_yards_gained,drive_end_time,field_side,yard_line,pass,rush,punt,kickoff_play,incompletion,completion,touchdown_play,passing_touchdown,rushing_touchdown,receiving_touchdown,field_goal,field_goal_made,fumble,fumble_forced,punt_return_td,kickoff_return_td,kickoff_touchback,punt_downed,penalty,penalty_declined,penalty_accepted,no_play,extra_point_attempt,extra_point_made,extra_point_missed,first_down,first_down_pass,first_down_rush,third_down_failed,third_down_converted,fourth_down_attempt,fourth_down_failed,fourth_down_converted,sack,interception,kickoff_fair_catch,kickoff_out_of_bounds,kickoff_return,punt_fair_catch,punt_out_of_bound,punt_touchback,punt_blocked,punt_return,field_goal_blocked,extra_point_blocked,shotgun,no_huddle,change_of_poss,turnover_downs,end_of_half,first_by_penalty,first_by_yards,pass_attempt,pass_breakup,interception_return_touchdown,fumble_return_touchdown,safety,field_goal_return_touchdown,qb_hurry,rush_attempt,timeout,qb_kneel,completion_player_name,reception_player_name,passer_player_name,targeted_player_name,sack_taken_player_name,rusher_player_name,punter_player_name,punt_returner_player_name,kickoff_player_name,kickoff_returner_player_name,field_goal_player_name,penalty_play_text,extra_point_player_name,sack_player_name,sack_player_name_2,solo_sack_player_name,half_sack_player_name_1,half_sack_player_name_2,interception_thrown_player_name,interception_player_name,pass_breakup_player_name,qb_hurry_player_name,tackle_player_name,tackle_player_name_2,solo_tackle_player_name,assissted_tackle_player_name,assissted_tackle_player_name_2,fumble_recovered_player_name,timeout_team,punt_block_player_name,field_goal_block_player_name,field_goal_returner_player_name,touchdown_player_name,completion_yds,reception_yds,rushing_yds,field_goal_yds,punt_yds,punt_returner_yds,kickoff_yds,kickoff_returner_yds,sack_yds,penalty_yds,drive_length,drive_number_plays,drive_yds,touchdown_player,game_half,drive_start_quarter,drive_start,ball_on,drive_end_quarter,drive_end,end_on,time_of_possession,redzone,success,def_success,stuffed_run,position_passer_player,position_completion_player,position_incompletion_player,position_sack_taken_player,position_interception_thrown_player,position_reception_player,position_targeted_player,position_rusher_player,position_touchdown_player,position_solo_sack_player,position_half_sack_player,position_half_sack_player_name,position_interception_player,position_pass_breakup_player
2024,1,1,MHU_DSU_2024,NA,NA,NA,MHU,NA,DSU,NA,NA,NA,NA,kickoff,"Burleson,Parker kickoff 65 yards to the MHU00, Touchback.",1,10,NA,NA,NA,DSU,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Parker Burleson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,1st,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,2,MHU_DSU_2024,1,Mars Hill,Delta St.,MHU,0,DSU,0,0,1,15:00,rush,"Martin,JR rush middle for 6 yards gain to the MHU31 (Carter,William).",1,10,NA,6,12:24,MHU,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,JR Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William Carter,NA,William Carter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,02:36,5,20,NA,1st,1,kickoff,MHU25,1,punt,MHU45,2:36,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,QB,NA,NA,NA,NA,NA,NA
2024,1,3,MHU_DSU_2024,1,Mars Hill,Delta St.,MHU,0,DSU,0,0,1,15:00,pass,"Martin,JR pass complete short middle to Laurent,Malik caught at MHU43, for 12 yards to the MHU43 (Hopkins,Carl), 1ST DOWN.",2,4,12,NA,12:24,MHU,31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,JR Martin,Malik Laurent,JR Martin,Malik Laurent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carl Hopkins,NA,Carl Hopkins,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,02:36,5,20,NA,1st,1,kickoff,MHU25,1,punt,MHU45,2:36,0,1,1,0,QB,QB,NA,NA,NA,WR,WR,NA,NA,NA,NA,NA,NA,NA
2024,1,4,MHU_DSU_2024,1,Mars Hill,Delta St.,MHU,0,DSU,0,0,1,15:00,pass,"Martin,JR pass complete short right to Gullette,Jon caught at MHU43, for 1 yard to the MHU44 (Holsey,Tye).",1,10,1,NA,12:24,MHU,43,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,JR Martin,Jon Gullette,JR Martin,Jon Gullette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tye Holsey,NA,Tye Holsey,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,02:36,5,20,NA,1st,1,kickoff,MHU25,1,punt,MHU45,2:36,0,0,0,0,QB,QB,NA,NA,NA,RB,RB,NA,NA,NA,NA,NA,NA,NA
2024,1,5,MHU_DSU_2024,1,Mars Hill,Delta St.,MHU,0,DSU,0,0,1,15:00,pass,"Martin,JR pass incomplete short middle to Hargro,David thrown to DSU48 QB hurried by Martin,Mario.",2,9,NA,NA,12:24,MHU,44,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,JR Martin,David Hargro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mario Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02:36,5,20,NA,1st,1,kickoff,MHU25,1,punt,MHU45,2:36,0,0,0,0,QB,NA,QB,NA,NA,NA,WR,NA,NA,NA,NA,NA,NA,NA
2024,1,6,MHU_DSU_2024,1,Mars Hill,Delta St.,MHU,0,DSU,0,0,1,15:00,rush,"Shotgun Martin,JR rush left for 1 yard gain to the MHU45 (Hopkins,Carl).",3,9,NA,1,12:24,MHU,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,JR Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carl Hopkins,NA,Carl Hopkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,02:36,5,20,NA,1st,1,kickoff,MHU25,1,punt,MHU45,2:36,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,QB,NA,NA,NA,NA,NA,NA
2024,1,7,MHU_DSU_2024,1,Mars Hill,Delta St.,MHU,0,DSU,0,0,1,15:00,punt,"Bridges,Hunter punt 34 yards to the DSU21 fair catch by Doss,Taylon at DSU21.",4,8,NA,NA,12:24,MHU,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Hunter Bridges,Taylon Doss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,02:36,5,20,NA,1st,1,kickoff,MHU25,1,punt,MHU45,2:36,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,8,MHU_DSU_2024,1,Delta St.,Mars Hill,MHU,0,DSU,0,0,1,15:00,rush,"Shotgun Kirk,Cole rush left for 1 yard loss to the DSU20 (Brown,Ezekiel; Morrison,Sakarri).",1,10,NA,-1,12:24,DSU,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,Cole Kirk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ezekiel Brown,Sakarri Morrison,NA,Ezekiel Brown,Sakarri Morrison,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,02:36,5,20,NA,1st,1,kickoff,MHU25,1,punt,MHU45,2:36,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,QB,NA,NA,NA,NA,NA,NA
2024,1,9,MHU_DSU_2024,2,Delta St.,Mars Hill,MHU,0,DSU,0,0,1,12:24,pass,"Shotgun Kirk,Cole pass complete short left to Green,Jaylen caught at DSU20, for 4 yards to the DSU24 (Holt,Cheron).",2,11,4,NA,10:28,DSU,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cole Kirk,Jaylen Green,Cole Kirk,Jaylen Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cheron Holt,NA,Cheron Holt,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,01:56,8,46,NA,1st,1,punt,DSU21,1,interception,MHU33,1:56,0,0,0,0,QB,QB,NA,NA,NA,WR,WR,NA,NA,NA,NA,NA,NA,NA
2024,1,10,MHU_DSU_2024,2,Delta St.,Mars Hill,MHU,0,DSU,0,0,1,12:24,pass,"Shotgun Kirk,Cole pass incomplete deep left to Green,Jaylen thrown to MHU30 PENALTY MHU Offside (Lewis,Boris) 5 yards from DSU24 to DSU29. NO PLAY.",3,7,NA,NA,10:28,DSU,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,Cole Kirk,NA,NA,NA,NA,NA,NA,NA,NA,"PENALTY MHU Offside (Lewis,Boris) 5 yards from DSU24 to DSU29. NO PLAY.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boris Lewis,NA,Boris Lewis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,01:56,8,46,NA,1st,1,punt,DSU21,1,interception,MHU33,1:56,0,0,0,0,QB,NA,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
