date,home_team,home_score,away_team,away_score,attendance,game_id_url,game_id,playoff_game,home_team_rank,away_team_rank
08/29/2024,Carson-Newman Eagles,50,Reinhardt,7,"4,291",/contests/5365145/box_score,5365145,0,NA,NA
08/29/2024,N.M. Highlands,37,Eastern N.M. Greyhounds,63,"2,045",/contests/5365147/box_score,5365147,0,NA,NA
08/29/2024,Northwest Mo. St.,22,Minnesota St. Mavericks,36,"4,441",/contests/5365148/box_score,5365148,0,NA,NA
08/29/2024,Wayne St. (NE),49,Missouri S&T Miners,17,"1,700",/contests/5365149/box_score,5365149,0,NA,NA
08/29/2024,Northeastern St.,31,Missouri Western Griffons,33,"3,983",/contests/5365150/box_score,5365150,0,NA,NA
08/29/2024,Bemidji St. Beavers,19,Michigan Tech,13,"1,850",/contests/5365151/box_score,5365151,0,NA,NA
08/29/2024,Morehead St.,17,Central St.  Marauders,10,"6,155",/contests/5365152/box_score,5365152,0,NA,NA
08/29/2024,Northern Mich.,7,Minn. Duluth Bulldogs,35,"2,142",/contests/5365153/box_score,5365153,0,NA,NA
08/29/2024,Chadron St. Eagles,6,Neb.-Kearney,18,"1,759",/contests/5365154/box_score,5365154,0,NA,NA
08/29/2024,Sul Ross St. Lobos  *NCAA Division II Reclassifying Member,21,West Tex. A&M,42,143,/contests/5365155/box_score,5365155,0,NA,NA
08/29/2024,St. Thomas (MN),13,Sioux Falls Cougars,34,"3,265",/contests/5365156/box_score,5365156,0,NA,NA
08/29/2024,Minot St. Beavers,38,Valley City St.,7,"4,046",/contests/5365157/box_score,5365157,0,NA,NA
08/29/2024,South Dakota Mines,6,CSU Pueblo ThunderWolves,35,"2,761",/contests/5365158/box_score,5365158,0,NA,NA
08/29/2024,Mars Hill,16,Delta St. Statesmen,47,"2,750",/contests/5365160/box_score,5365160,0,NA,NA
08/30/2024,Fort Hays St.,21,Angelo St. Rams,7,"3,610",/contests/5365161/box_score,5365161,0,NA,NA
08/29/2024,South Dakota,45,Northern St. Wolves,3,"7,435",/contests/5365162/box_score,5365162,0,NA,NA
08/29/2024,Millersville,7,Clarion Golden Eagles,36,"2,636",/contests/5365165/box_score,5365165,0,NA,NA
08/29/2024,Edinboro,12,East Stroudsburg Warriors,24,"2,468",/contests/5365167/box_score,5365167,0,NA,NA
08/29/2024,Midwestern St. Mustangs,18,Mo. Southern St.,11,"2,722",/contests/5365168/box_score,5365168,0,NA,NA
08/29/2024,Tex. A&M-Kingsville,13,Colorado Mesa Mavericks,16,"6,301",/contests/5365169/box_score,5365169,0,NA,NA
08/29/2024,Mary Marauders,23,Jamestown,6,"2,691",/contests/5365170/box_score,5365170,0,NA,NA
08/29/2024,Emporia St. Hornets,30,Washburn,14,"5,622",/contests/5365171/box_score,5365171,0,NA,NA
08/29/2024,Wheeling Cardinals,25,Mercyhurst,28,500,/contests/5365174/box_score,5365174,0,NA,NA
