school_name,links,team_id,year
Adams St.,/teams/62354,62354,2014
Albany St. (GA),/teams/62268,62268,2014
Alderson Broaddus,/teams/62355,62355,2014
American Int'l,/teams/62269,62269,2014
Angelo St.,/teams/62270,62270,2014
Ark.-Monticello,/teams/62395,62395,2014
Arkansas Tech,/teams/62356,62356,2014
Ashland,/teams/62271,62271,2014
Assumption,/teams/62272,62272,2014
Augustana (SD),/teams/62273,62273,2014
Bemidji St.,/teams/62274,62274,2014
Benedict,/teams/62275,62275,2014
Bentley,/teams/62276,62276,2014
Black Hills St.,/teams/62426,62426,2014
Bloomsburg,/teams/62277,62277,2014
Bowie St.,/teams/62278,62278,2014
Brevard,/teams/62417,62417,2014
CSU Pueblo,/teams/62390,62390,2014
Cal Poly Humboldt,/teams/62298,62298,2014
California (PA),/teams/62279,62279,2014
Carson-Newman,/teams/62357,62357,2014
Catawba,/teams/62358,62358,2014
Central Mo.,/teams/62280,62280,2014
Central Okla.,/teams/62359,62359,2014
Central St. (OH),/teams/62414,62414,2014
Central Wash.,/teams/62360,62360,2014
Chadron St.,/teams/62361,62361,2014
Charleston (WV),/teams/62362,62362,2014
Cheyney,/teams/62281,62281,2014
Chowan,/teams/62400,62400,2014
Clarion,/teams/62282,62282,2014
Clark Atlanta,/teams/62283,62283,2014
Colo. Sch. of Mines,/teams/62284,62284,2014
Colorado Mesa,/teams/62409,62409,2014
Concord,/teams/62363,62363,2014
Concordia-St. Paul,/teams/62405,62405,2014
Delta St.,/teams/62285,62285,2014
East Central,/teams/62401,62401,2014
East Stroudsburg,/teams/62286,62286,2014
East Texas A&M,/teams/62287,62287,2014
Eastern N.M.,/teams/62288,62288,2014
Edinboro,/teams/62289,62289,2014
Elizabeth City St.,/teams/62290,62290,2014
Emporia St.,/teams/62364,62364,2014
Fairmont St.,/teams/62365,62365,2014
Fayetteville St.,/teams/62291,62291,2014
Ferris St.,/teams/62292,62292,2014
Findlay,/teams/62366,62366,2014
Florida Tech,/teams/62293,62293,2014
Fort Hays St.,/teams/62402,62402,2014
Fort Lewis,/teams/62367,62367,2014
Fort Valley St.,/teams/62294,62294,2014
Gannon,/teams/62295,62295,2014
Glenville St.,/teams/62368,62368,2014
Grand Valley St.,/teams/62296,62296,2014
Harding,/teams/62369,62369,2014
Henderson St.,/teams/62370,62370,2014
Hillsdale,/teams/62297,62297,2014
Indiana (PA),/teams/62299,62299,2014
Johnson C. Smith,/teams/62301,62301,2014
Kentucky St.,/teams/62302,62302,2014
Kutztown,/teams/62304,62304,2014
Ky. Wesleyan,/teams/62303,62303,2014
LIU Post,/teams/62311,62311,2014
Lake Erie,/teams/62391,62391,2014
Lane,/teams/62305,62305,2014
Lenoir-Rhyne,/teams/62372,62372,2014
Lincoln (MO),/teams/62306,62306,2014
Lincoln (PA),/teams/62307,62307,2014
Lindenwood,/teams/62427,62427,2014
Livingstone,/teams/62309,62309,2014
Lock Haven,/teams/62310,62310,2014
MSU Moorhead,/teams/62375,62375,2014
Malone,/teams/62428,62428,2014
Mars Hill,/teams/62373,62373,2014
Mary,/teams/62416,62416,2014
McKendree,/teams/62429,62429,2014
McMurry,/teams/62396,62396,2014
Mercyhurst,/teams/62313,62313,2014
Merrimack,/teams/62314,62314,2014
Michigan Tech,/teams/62315,62315,2014
Midwestern St.,/teams/62374,62374,2014
Miles,/teams/62316,62316,2014
Millersville,/teams/62317,62317,2014
Minn. Duluth,/teams/62318,62318,2014
Minn.-Crookston,/teams/62413,62413,2014
Minnesota St.,/teams/62312,62312,2014
Minot St.,/teams/62422,62422,2014
Missouri S&T,/teams/62319,62319,2014
Missouri Western,/teams/62404,62404,2014
Mo. Southern St.,/teams/62403,62403,2014
Morehouse,/teams/62320,62320,2014
N.M. Highlands,/teams/62397,62397,2014
Neb.-Kearney,/teams/62371,62371,2014
New Haven,/teams/62322,62322,2014
Newberry,/teams/62376,62376,2014
North Ala.,/teams/62323,62323,2014
North Greenville,/teams/62406,62406,2014
Northeastern St.,/teams/62410,62410,2014
Northern Mich.,/teams/62325,62325,2014
Northern St.,/teams/62377,62377,2014
Northwest Mo. St.,/teams/62326,62326,2014
Northwood,/teams/62327,62327,2014
