number	name	class	position	height	weight	hometown	high_school	team	season
74	Michael Chambers	Sr.	OL	6-4	310	Silver Spring, MD		Chowan	2024
40	Danny Foster	Sr.	LB	6-3	235	Florence, SC		Chowan	2024
38	William Reid	So.	WR	6-0	165	Washington, NC	Washington HS	Chowan	2024
4	Maurice Smith	Fr.	RB	6-3	220	Fort Pierce, FL	Vero Beach	Chowan	2024
6	Jeremiah Wright	Fr.	DB	5-10	180	Round Rock, TX		Chowan	2024
2	Gabrial Jackson	Jr.	TE	6-1	215	Hampton, VA	Kecoughtan HS	Chowan	2024
3	Malachi Howell	Jr.	DL	6-2	250	Monroe, NC		Chowan	2024
1	Jakobe Lane	Jr.	RB	5-9	180	Haines City, FL		Chowan	2024
8	Nyamusa Njoka	Sr.	DB	6-0	190	Burtonsville, MD		Chowan	2024
13	Justin Taylor	Jr.	DB	6-0	180	Goldsboro, NC	Goldsboro HS	Chowan	2024
43	Oreon Ford	Jr.	LB	5-11	213	Clayton, NC		Chowan	2024
55	Jadyn Hammonds-Dickens	Jr.	OL	5-10	290	Polkton, NC		Chowan	2024
48	Matthew Conord	Fr.	K	5-11	170	Lithia, FL	Newsome HS	Chowan	2024
49	Willie Bridgers iV	So.	LS	5-9	205	Wilson, NC		Chowan	2024
60	Isaiah Sharpe	Jr.	OL	6-3	310	Mount Olive, NC		Chowan	2024
71	Knowledge Broadie	Jr.	OL	6-4	315	Dudley, NC		Chowan	2024
81	Keon Adderley	So.	WR	6-3	190	Miami, FL		Chowan	2024
22	Malique Frazier	Sr.	WR	5-11	180	Macon, GA		Chowan	2024
28	Jamison Davis	Fr.	RB	5-11	195	Fort Pierce, FL	Treasure Coast HS	Chowan	2024
32	Ja'Ven Gooch	Jr.	RB	5-10	220	Warner Robins, GA		Chowan	2024
41	Demarcus Carroll	Jr.	DL	6-4	200	Fayetteville, NC	Byrd HS	Chowan	2024
23	Demitray Fields	Jr.	DB	6-1	195	Fort Lauderdale, FL	Fort Lauderdale HS	Chowan	2024
24	Charles Alberty	Jr.	DB	5-10	180	Oakland, CA		Chowan	2024
20	Jalen Razor	Jr.	RB	5-9	187	Tarboro, NC	Tarboro HS	Chowan	2024
25	Komari Clark	Sr.	DB	5-10	188	Franklin, GA		Chowan	2024
26	Jerrel Howard	Jr.	DB	6-0	180	Glen Burnie, MD		Chowan	2024
18	Samuel Tagg	Fr.	LB	6-0	220	Mount Morris, MI		Chowan	2024
83	Greg Williams	Sr.	WR	5-7	170	Fredericksbrg, VA	Janes Monroe HS	Chowan	2024
86	Anthony Key	So.	WR	6-1	190	Richmond, VA	Trinity Episcopal School	Chowan	2024
76	James Simmons	So.	OL	6-3	300	Dinwiddie, VA	Dinwiddie HS	Chowan	2024
42	Cameron Richardson	So.	DL	5-11	215	Wake Forest, NC	Rolesville HS	Chowan	2024
30	Marcus Serrano	Jr.	DB	5-11	185	Philadelphia, PA		Chowan	2024
17	Canii Tucker	Jr.	DB	6-1	175	Ladson, SC	Fort Dortchester HS	Chowan	2024
21	Isaiah Fulton	So.	DB	6-0	170	Orlando, FL	Lake Nona HS	Chowan	2024
46	Landon Bueter	So.	TE	6-3	235	Orlando, FL	Timber Creek HS	Chowan	2024
5	Kennypride Toh	Sr.	LB	6-0	225	Silver Spring, MD		Chowan	2024
0	Romeo Felton	Jr.	RB	5-8	180	Akron, OH		Chowan	2024
64	William Simmons	So.	OL	6-3	270	Dinwiddie, VA	Dinwiddie HS	Chowan	2024
33	Kamari Matthews	Jr.	LB	5-11	220	Hampton, VA	Tabb HS	Chowan	2024
44	Alix Ulysse	So.	LB	6-3	210	Miami, FL	North Miami Beach Senior HS	Chowan	2024
57	Deangelo Woods	Sr.	OL	6-3	300	Pinson, AL		Chowan	2024
72	Omarion Huntley	Jr.	OL	6-6	330	Monroe, NC		Chowan	2024
10	Josef Manley	Fr.	QB	6-1	200	Upper Marlboro, MD	Frederick Douglas HS	Chowan	2024
94	Donovan Williams	So.	DL	6-1	270	Jacksonville, NC	Northside HS	Chowan	2024
99	Darrick Badley	So.	DL	6-4	340	Henrico, VA	Trinity Episcopal School	Chowan	2024
47	Malik Holiday	So.	LB	6-0	215	Warner Robins, GA	Veterans HS	Chowan	2024
34	Joshua Gonleh	Jr.	LB	6-0	210	Crystal, MN		Chowan	2024
35	Omari Kinsler	Fr.	LB	6-4	205	Port St Lucie, FL	Treasure Coast HS	Chowan	2024
77	Major Dillard	So.	OL	6-2	330	Washington, DC	Frederick Douglas HS	Chowan	2024
15	Jonah Kurker	Sr.	DL	6-3	230	West Roxbury, MA		Chowan	2024
78	Noah Horton	Jr.	OL	6-6	350	Roanoke, VA		Chowan	2024
87	Davion Turns Jr.	Fr.	WR	5-11	185	Virginia Beach, VA	Indian River HS	Chowan	2024
88	Amir Alexander	Fr.	WR	6-3	211	Salisbury, NC	North Rowan HS	Chowan	2024
70	William Smothers	Fr.	OL	6-3	330	Sacramento, CA	Fork Union	Chowan	2024
75	Malachi Ford	Jr.	OL	6-3	350	Altoona, PA		Chowan	2024
39	ZiQuiris Ramsey	So.	DB	6-0	180	Mooresville, NC	Mooresville HS	Chowan	2024
31	Booker Peake	Fr.	DB	5-11	190	Goose Creek, SC		Chowan	2024
12	Isaiah Pelham	So.	DB	6-1	190	Vanceboro, NC		Chowan	2024
58	Mazi Wiggins	So.	LB	5-11	210	Williamston, NC	Riverside HS	Chowan	2024
68	Jordan Thomas	Fr.	OL	6-3	280	Port St Lucie, FL	Vero Beach HS	Chowan	2024
50	Jayden Rodriguez	Fr.	DL	5-11	215	Winter Garden, FL	Foundation Academy	Chowan	2024
